Тема,Описание,Тип оборудования,Точка отказа,Серийный номер
Ноутбук СИЛА HK1-1427/ i5-1135G7/16G/m.2 512Gb/С111120102/инв. № 525600,"При подключение USB наушников, замедляется работа ПК и начинается самопроизвольно меняться раскладка языка на клавиатуре. Обновление драйверов ПК проблема не устранима, с другими наушниками ситуация такая же.",Ноутбук,Консультация,С111120102
Сервер СИЛА СР2-5422  // Вышел из строя сетевой SFP модуль // D252110012,"Добрый день.
На сервере вышел из строя сетевой SFP модуль - нет сигнала
Временно поставили SFP из другого сервера -  сигнал пришел в норму.
Просьба заменить SFP модуль.
Фото сбойного модуля во вложении.",Сервер,SFP модуль,D252110012
Ноутбук СИЛА HK1-1425/ i5-1135G7/8G/m.2 512Gb/ С112040045 /инв. 525861_ВЛN,"Ноутбук при загрузке 5-10% отвечает на любые действия с задержкой 2-3 секунды, картинка на экране отключается каждые 2-3 секунды при подключенном мониторе и без него, в логах событий многочисленные сбои видеоядра, отключения сетевого драйвера. Перезагрузки и обновления драйверов с проблемой не помогли. _x000D_
Порт HDMI в ноутбуке уже давно не работает.",Ноутбук,Материнская плата,С112040045
СИЛА НК2-1404 \нет загрузочного  диска\C222091500,"Пропал загрузочный диск._x000D_
При включении попадает в BIOS",Ноутбук,Диск ,C222090950
Неисправность ноутбука Сила NTB49600 (Платформа) - C223090096,"Добрый день! 
 Ноутбук СИЛА НК2-3404 - NTB49600 (S/N: C223090096)
 Описание неисправности – Вышла из строя матрица. В нижней части экрана образовались полосы разной длины, ширины, появилось мерцание. Во вложении фото неисправности. На ноутбуке нет следов физического воздействия, неисправность аппаратная. 
 ",Ноутбук,Матрица,C223090096
Полосы на экране,"Полосы на экране
",Ноутбук,Матрица,C223010035
HK2-1404 // Не работает зарядное устройство // C223102298,"Перестало работать зарядное устройство. С другим работает корректно.
",Ноутбук,Блок питания,C223102298
НК2-3404 // Мерцание экрана // C223091126,"У нас же третий из 50 ноутбуков СИЛА проявляет слабость с экраном, вероятно, дело в шлейфе. _x000D_
Грустно то, что все 3 этих ноутбука не использовались «в полях» а стояли в офисе, их почти не открывали – закрывали. _x000D_
Известная проблема? _x000D_
_x000D_
Мерцает экран, пока есть 2 серийника, 1 ноутбук в пути:_x000D_
C223091001_x000D_
C223091126_x000D_
_x000D_
Возможен ли ремонт не в Москве\Области? У нас есть офис в Самаре и в Санкт-Петербурге.",Ноутбук,Матрица,C223091126
Ноутбук не включается,"Ноутбук не включается. Индикатор зарядки активен.
",Ноутбук,Материнская плата,C223010076
Не работает ноутбук,"Добрый день!
Ноутбук C223013256 перестал корректно включаться.
После нажатия на кнопку включения загорается индикатор, но кулер не крутится, изображение не появляется.
Прошу помощи в диагностике неисправности, сброс по питанию проблему не решает.
",Ноутбук,Материнская плата,C223013256
Гарантийный ремонт 2-х ноутбуков СИЛА,"Добрый день! _x000D_
 Выявили дефекты изображения на матрице 2-х приобретённых у вас ноутбуках СИЛА НК2-3404. _x000D_
 Серийные номера: _x000D_
 1)    С223090320 _x000D_
 2)    С223091504 _x000D_
 Прошу организовать работы по гарантийному ремонту. _x000D_
 ",Ноутбук,Матрица,С223090320
HK2-1404 C223013523,"Добрый день! 
 Прошу взять в гарантийный ремонт ноутбук СИЛА нк2-1404 C223013523 
 Неисправности: 
 Повреждена матрица ноутбука(видео прикладываю) 
 ",Ноутбук,Матрица,C223013523
Ноутбук НК2-1404 // Полосы и мерцание на мониторе // C223014561,"Добрый день!
Примите пожалуйста заявку на ремонт. 
Появились полосы и мерцание экрана.
",Ноутбук,Матрица,C223014561
BIOS'ы,"Здравствуйте!
Поделитесь, пожалуйста, последними версиями BIOS на НК2-1404 и НК2-3404.
",Ноутбук,Консультация,"C223010345, С223092735"
"Свежая версия BMC Cube, шаблон для Zabbix","Добрый день!_x000D_
Есть свежая версия BMC Cube для серверов СИЛА CP2-6327?_x000D_
У нас установлена CUBE_63_PLATFORM_1264_2._x000D_
Поддержка мониторинга физических дисков по SNMP еще не добавлена?_x000D_
Шаблон для Zabbix не появился? У нас есть только ""Template Server Gooxi IPMI"".",Сервер,Консультация,D263120004
Требуется замена модуля памяти,Добрый день! Требуется замена модуля памяти. При проведении теста памяти ошибка повторяется. Лог во вложении.,Сервер,Оперативная память,D114030017(FTKY614)
Ноутбук СИЛА HK1-1425/i5-1135G7/1*16G/m.2 256G/B3Y/С111080061/инв. №525315,Не работает HDMI,Ноутбук,Материнская плата,С111080061
Обновление BIOS,"Добрый день. Просьба прислать ссылку на последнюю версию BIOS для HK2-1404_x000D_
И еще вопрос - планируется ли делать корректный портал с драйверами, чтобы можно было зайти и скачать драйвера в разных редакциях? По каждому случаю не удобно писать заявки на предоставление драйверов.",Ноутбук,Консультация,C223010446
Неисправность сервера СИЛА // 46915,"Модель: сервер CP2 – 5422_x000D_
S/N : D252030010_x000D_
 Расположение: КВ7 _x000D_
 Описание: Неисправность системы охлаждения сервера и модуля управления. _x000D_
 Приоритет: 3 _x000D_
 Приоритет: 3 _x000D_
 Дополнительная информация во вложении. _x000D_
 ",Сервер,Сервер,D252030009
СИЛА НК2-1404// Замена ЗУ на ноутбуках Сила HK2-1404 (в кол-ве 6 шт.),"Вышли из строя ЗУ от ноутбуков СИЛА НК2-1404, в кол-ве 6шт. Прошу принять заявку на гарантийную замену ЗУ от ноутбуков Сила:
s/n:C223011170
s/n:C223102198 
s/n:C223011889 
s/n:C223101201 
s/n:C223100299 
s/n:C223011531 
",Ноутбук,Блок питания,"C223011170, C223102198, C223011889, C223101201, C223100299, C223011531"
Сервер СР2-5422 // После обновления bios и bmc появились ошибки системных кулеров // D251110015,"Добрый день!_x000D_
После обновления bios и bmc появились ошибки связанные с системными кулерами (скриншот и выгрузка логов во вложении)._x000D_
System_Fan_1 sensor crossed a critical low threshold going low. Reading=0.000000 Threshold=100.000000 ._x000D_
System_Fan_2 sensor crossed a critical low threshold going low. Reading=0.000000 Threshold=100.000000 ._x000D_
System_Fan_3 sensor crossed a critical low threshold going low. Reading=0.000000 Threshold=100.000000 ._x000D_
Сброс логов с последующей перезагрузкой bmc не помогли.",Сервер,Материнская плата,D251110015
СИЛА НК2-1404//Драйверы звука и видео пропадают при перезагрузке // C222090246,"Будьте добры сообщить адрес сервисного центра в г.Липецке
",Ноутбук,Диск ,C222090246
Неприемлемо долгий запуск сервера CP2-5422,"Полный запуск сервера (от нажатия кнопки питания до запуска ОС) выполняется неприемлемо долго - 30 мин._x000D_
При этом время между запуском сервера (нажатием кнопки питания) и появлением текстовой информации о настройке RAID-контроллера составляет примерно 2.5 минуты._x000D_
Такое поведение у серверов D254020003 и D254020002._x000D_
Сервер D254020004 запускается в разы быстрее - за 3.5 минуты._x000D_
Аппаратная конфигурация серверов D254020003 и D254020002 абсолютно одинаковая._x000D_
Сервер D254020004 отличается от предыдущих серверов наличием RAID-6 из 6 SSD (на первых двух серверах нет RAID'а, только по 1 SSD, при этом RAID-контроллер есть у всех серверов)._x000D_
Программная конфигурация у всех трех серверов одинаковая:_x000D_
- Версия BIOS'а: SILA 015 rev 8.3;_x000D_
- Версия BMC: 1264_4;_x000D_
- ОС: AstraLinux SE 1.7.5.16, ядро 6.1.50-generi._x000D_
Журнал POST-кодов и журнал событий за этап загрузки проблемного сервера во вложении",Сервер,Программное обеспечение,D254020003
мерцает экран ноутбука,"мерцает экран ноутбука

",Ноутбук,Матрица,C223091623
СИЛА НК2-1404// Замена ЗУ на ноутбуках Сила HK2-1404 (в кол-ве 5 шт.)// C223012998 C223101389 C223102298  C223100876 C223100050,"Вышли из строя ЗУ от ноутбуков СИЛА НК2-1404, в кол-ве 6шт. Прошу принять заявку на гарантийную замену ЗУ от ноутбуков Сила:
Серийный номера:
C223012998
C223101389 
C223102298  
C223100876 
C223100050
",Ноутбук,Блок питания,C223012998 C223101389  C223102298   C223100876  C223100050
Сила КУБ: запрос на обновление прошивки,"Добрый день._x000D_
У нас на тестировании находится сервер СР2-6327._x000D_
Текущие версии прошивок:_x000D_
BMC Firmware Revision_x000D_
0.31.020012_x000D_
BMC Firmware Build Time_x000D_
Dec 30 2022 15:34:31 CST_x000D_
BIOS Revision_x000D_
902_x000D_
BIOS Name_x000D_
G4DCL_x000D_
BIOS Firmware Build Time_x000D_
12/26/2022 16:13:00_x000D_
CPLD Revision_x000D_
07_x000D_
CPLD Name_x000D_
G4DCL_x000D_
CPLD Build Time_x000D_
11/22/2022_x000D_
Просим предоставить актуальные версии прошивок и инструкции по их обновлению._x000D_
",Сервер,Консультация,D263090003
заявка на гарантийный ремонт\замену,"Добрый день.
Серийный номер: С223013250
Неисправность: блок питания не подает заряд
Уточните, пожалуйста, как мы можем заменить неработающий блок питания?
",Ноутбук,Блок питания,C223013250
HK2-1404 // Не работает кнопка влючения и jack 3.5 // C223011660,"Не работает кнопка влючения и jack 3.5

Это не гарантийный ремонт, т.к. jack 3.5 отсутствует по вине пользователя.

",Ноутбук,Клавиатура,C223011660
"СИЛА НК2-3205 // Перечень проблем с ноутбуками СИЛА // Проблемы при подключении к док-станции, второго монитора //  C233041042","Коллеги, добрый день!_x000D_
Есть ряд ноутбуков которыми пользуются наши сотрудники, у которых возникают общие проблемы, а так же, индивидуальные._x000D_
Привожу несколько ноутбуков с описанием проблем от пользователей: _x000D_
_x000D_
_x000D_
_x000D_
_x000D_
СИЛА HK2 3205 №C233041042_x000D_
1)Если подключена док-станция , то часто , не работает USB-C гарнитура(но видна как устройство) . Помогает только отключить док-станцию и гарнитуру -> подключить гарнитуру -> подключить док-станцию . Док станция HP USB-C G5 5TW10AA_x000D_
2)Не корректно работает со вторым монитором через HDMI . Если при открытой крышке ноутбука , подключить второй монитор , то на дисплее ноутбука начинаем ""моргать"" изображение , а второй монитор не загорается . Помогает только акрытие крышки , ноутбука и затем только подключение второго монитора . Монитор имеет разрешение 3440х1440. Если же подключить  через док-станцию, то проблем не наблюдается .",Ноутбук,Программное обеспечение,C233041042
СИЛА HK2-1404 // Не работает зарядное устройство // C223011088,"Не работает зарядное устройство.
",Ноутбук,Блок питания,C223011088
Ноутбук СИЛА HK1-1425/i5-1135G7/8G/m.2 256G/B3Y/С111080030/инв. №367120,"Не работает HDMI_x000D_
_x000D_
Ноутбук СИЛА HK1-1425/i5-1135G7/8G/m.2 256G/B3Y/С111080030/инв. №367120",Ноутбук,Материнская плата,С111080030
Неисправность Ноутбук СИЛА НК2-3404 - NTB48179 S/N: C223091624,"Добрый день!
Ноутбук СИЛА НК2-3404 - NTB48179 S/N: C223091624
Описание неисправности – вышла из строя система охлаждения центрального процессора. Во время работы вентилятора слышны треск и гул, наблюдается перегрев ЦП. На ноутбуке нет следов физического воздействия, неисправность аппаратная.
",Ноутбук,Корпус,C223091624
Сервер СР2-5422 // После обновления bios и bmc перестал работать BMC // D251110011,"Привет! Обновили BIOS и BMC до последней версии (SILA_015_bios_rev8_3/CUBE 1.5)._x000D_
Доступ к серверу по IPMI пропал. В BIOS настраивать BMC (повесить IP и тд) можно, но сервер по bmc не пингуется и не доступен по веб соответственно._x000D_
Пробовали отключать питание на 10 минут. Отключать в BIOS bmc функцию и снова включать. Проблема осталась.",Сервер,Материнская плата,D251110011
"СИЛА НК2-1404 // Рябь, мерцание //C223014073","Коллеги, добрый день!
У нас поломка 3-х ноутбуков СИЛА НК2-1404.
Серийные номера: C223013568,C223014073, C223014954


Рябь на ноутбуках/мерцание.",Ноутбук,Матрица,C223014954
"Синий экран, предположительно память.","При загрузке системы через 15-30 секунд ПК падает в синий экран с разными ошибками. Пробовали переустановить ОС - на переустановке также синий экран._x000D_
Есть подозрения на модуль ОЗУ. При его замене ПК работает стабильно.",Ноутбук,Оперативная память,С223010395
HK2-1404 // Проблема с портом type-c // C223012095,"Добрый день!
Не работает один порт type-c.

",Ноутбук,Материнская плата,C223012095
Гарантийный ремонт,"При включении нового ноутбука из коробки, на экране были обнаружены ""помехи""",Ноутбук,Матрица,С223091324
С223091153 - мерцает экран,"Мерцает экран
при подключении дисплеев - дисплеи не мерцают
",Ноутбук,Матрица,С223091153
полосы на матрице НК2-3404 C223090893,"Полосы на матрице. 
",Ноутбук,Матрица,C223090893
СИЛА НК2-3404  // мерцающая матрица // C223090123,"Привет, Коллеги.
Снова мерцающие полосы у Силы.  

Серийник: C223090123",Ноутбук,Материнская плата,C223090123
"10552. СИЛА HK-1404 // замена блоков питания // C223010423, C223011174","Добрый день! Не работают блоки питания, прошу заменить
",Ноутбук,Блок питания,"C223010423, C223011174"
Ноутбук СИЛА HK-1404 не заряжается с type-c портов,"Laptops: ноутбук не заряжается. Проверено несколько зарядок, работающих на других ноутбуках.
SILA NK2-1404 i7	C223011046
",Ноутбук,Материнская плата,C223011046
СИЛА HK2-1404 // Неисправность зарядного устройства ноутбука СИЛА // C223011355,"Добрый день!
В процессе эксплуатации у пользователя перестало работать зарядное устройство, оба порта type-c ноутбука корректно функционируют, визуально нет следов повреждения, c другими зарядными устройствами ноутбук корректно заряжается. Прошу заменить. Спасибо!
",Ноутбук,Блок питания,C223011355
Ноутбук СИЛА HK1-1425/i5-1135G7/2*8G/m.2 256G/B3Y/ инв. № 525325/ С111080029,"не рабочий HDMI (повторная поломка HDMI, ранее была  Заявка IBS-8588 )",Ноутбук,Материнская плата,С111080029
Неисправность Ноутбук СИЛА НК2-3404 - NTB48447 S/N: C223091505,"Добрый день! 
 Ноутбук СИЛА НК2-3404 - NTB48447 (S/N: C223091505)
 Описание неисправности – вышла из строя матрица. По всей площади экрана полосы и мерцание. Во вложении фото неисправности. На ноутбуке нет следов физического воздействия, скорее всего неисправность аппаратная. 
 ",Ноутбук,Матрица,C223091505
Перестал включаться,"Перестал включаться
",Ноутбук,Материнская плата,C223092664
HK2-1404 // Не работает зарядное устройство // C223011313,"Не работает зарядное устройство_x000D_
",Ноутбук,Блок питания,C223011313
СИЛА НК2-1404 // Отвалился разъем type c // C223012413,Отвалился разъем type c  на зарядном устройстве,Ноутбук,Блок питания,C223012413
Заряд аккумулятора,"Отсутствие заряда аккумулятора, использовались несколько исправных БП для проверки, ноутбук оставался подключенным к БП около суток, светодиод заряда постоянно оранжевого цвета, при отключении БП, ноутбук мгновенно выключается.",Ноутбук,Аккумулятор,C223100567
"СИЛА CX-1015-12 // HDD fault //  s/n E213120001. Вышел из строя диск, пришедший на замену по гарантии.","Вышел из строя диск, пришедший на замену по гарантии.  Был в резерве проработал 2 месяца. Прошу открыть заявку на ремонт (замену диска).",СХД,Диск,Е213120001
Драйвера НК2-3404 на WIn10x64,"Добрый день._x000D_
Просьба выложить актуальные драйвера для НК2-3404 на WIn10x64. На сайте присутствуют только драйвера для Win11. + Сделать разбивку для чего какой драйвер идет._x000D_
Также просьба обратить внимание на драйвера для звука. Есть проблема, что при подключении внешних звуковых устройств. Проявляется в 2х вариантах:_x000D_
1) Звук попросту не идет, хотя в диспетчере подключенное оборудование отображается. Подключение устройств через USB. При отключении стороннего устройства - звук через ноутбук идет корректно._x000D_
2) Про подключении док-станции иконка звука в правом нижнем углу становится перечеркнутой, как будто звуковых устройств нет совсем. Лечится только принудительной перезагрузкой с кнопки (часто еще и не с первого раза помогает, приходится по 3-4 раза перезагружать).",Ноутбук,Консультация,C223091496
Полосы и мерцание на мониторе,На ноутбуку СИЛА НК2-3404 появились полосы и мерцание экрана (фото во вложении).,Ноутбук,Матрица,C223090716
глитч матрицы,"После установки windows, матрица начала давать сбой, появление черных полос на экране хаотичное выключение 
экрана, 
после обновления драйверов, проблема не ушла, драйвера скачивали на оф сайте Сила.",Ноутбук,Матрица,C223093014
Неисправность Ноутбук СИЛА НК2-3404 - NTB48532 S/N: C223090552,"Добрый день! 
 Ноутбук СИЛА НК2-3404 - NTB48532 (S/N: C223090552)
 Описание неисправности – вышла из строя матрица. В верхней части экрана полосы и мерцание. Во вложении фото неисправности. На ноутбуке нет следов физического воздействия, скорее всего неисправность аппаратная. 
 ",Ноутбук,Матрица,C223090552
Заявка на гарант,"Здравствуйте!
Ноутбук C223094573 периодически мерцает экран. 
 Еще один ноутбук C223094545 сегодня забирают на ремонт. Могу ли я отдать сразу оба? 
",Ноутбук,Матрица,C223094573
Неисправность диска Enclosure=6:Disk=32 dd202,"Коллеги, добрый день._x000D_
Прошу открыть кейс по неисправному диску на оборудовании Data Domain:_x000D_
sysadmin@dd202-p1(active:0)# alerts show current_x000D_
Id       Post Time                  Severity   Class               Object                         Message_x000D_
------   ------------------------   --------   -----------------   ----------------------------   ------------------------------------------------------------------------_x000D_
p0-86    Fri Apr  5 06:22:28 2024   ERROR      SystemMaintenance                                  EVT-SMTOOL-00001: Error communicating with mail server._x000D_
p0-133   Fri Jul  5 20:42:39 2024   CRITICAL   HardwareFailure     Enclosure=1:DIMM=MR6 DIMM D0   EVT-DIMM-00003: A memory card has failed_x000D_
m0-56    Thu Jul 25 22:18:11 2024   CRITICAL   HardwareFailure     Enclosure=6:Disk=32            EVT-STORAGE-00002: Unable to access a disk and the disk state is failed._x000D_
------   ------------------------   --------   -----------------   ----------------------------   ------------------------------------------------------------------------_x000D_
There are 3 active alerts._x000D_
sysadmin@dd202-p1(active:0)#_x000D_
",СХД,Диск,CKM00194301861 // E419120013
СИЛА HK2-1404 // Неисправность зарядного устройства ноутбука СИЛА // C223012685 C223012673 C223011958 C223011355 C223012788,"Добрый день!
В процессе эксплуатации у пользователя перестало работать зарядное устройство, оба порта type-c ноутбука корректно функционируют, визуально нет следов повреждения, c другими зарядными устройствами ноутбук корректно заряжается. Прошу заменить. Спасибо!
",Ноутбук,Блок питания,C223012685
"Ноутбук СИЛА HK-1404 // замена блоков питания // C223012682, C223011343, C223011380","Добрый день! Не работают блоки питания, прошу заменить
",Ноутбук,Блок питания,"C223012682, C223011343, C223011380"
Ноутбук СИЛА HK1-1427/ i5-1135G7/16G/m.2 512Gb/С111120125/инв. № 525823,"1. Перезалил, биос уже последний, обновил драйвера, в корп ОС - микрофон не работает._x000D_
2. Запустил гостевую линукс ОС с флешки - микрофон не работает._x000D_
3. В биос микрофон включен._x000D_
Неисправно само устройство, необходим ремонт.",Ноутбук,Камера,С111120125
Проблема с серийным номером СИЛА,"Добрый день! 
 Ранее мы отправляли к вам на ремонт ноутбук по заявке: 
 6452. СИЛА HK2-1404 // Устройство не включается // C223012272 
 Сейчас при настройке мы заметили, что у него серийный номер такой: C2223012272 
 Т.е. имеется лишняя 2-йка в серийном номере. 
 Скрины во вложении. 
 Можете подсказать, можно ли как-то его поменять или сохранится ли за ним гарантия, если так и оставить? 
",Ноутбук,Консультация,C223012272
НК2-1404 // залит водой // C223011324,"пользователь залил ноутбук водой. требуется диагностика, обслуживание и ремонт, по необходимости.
",Ноутбук,Материнская плата,C223011324
"HK2-3404 // артефакты, двоение изображения // C223090155","Полосы на изображении(так же и в BIOS)

",Ноутбук,Матрица,C223090155
СИЛА НК2-1404 v2 // Неисправность ноутбука // С223011148,"Прошу принять в гарантийный ремонт ноутбук ""СИЛА НК2-1404"" s/n: С223011148.
Заявленная неисправность: 
В процессе работы регулярно появляется ""синий экран"", и ноутбук сам уходит в перезагрузку. Переустановка ОС на ноутбуке проблему не устранило.

",Ноутбук,Блок питания,С223011148
Проблема с клавиатурой ноутбука,"Добрый день!_x000D_
Перестала работать часть клавиатуры на ноутбуке СИЛА НК2-1404_x000D_
Серийный номер C222090998_x000D_
Как можно передать его вам на диагностику?_x000D_
",Ноутбук,Клавиатура,C222090998
Неисправность сервера СИЛА//46925,"Коллеги, добрый день. 
 Просьба принять запрос. 
 Оборудование: Сервер СИЛА 
 Номер: D252030034 
 Описание неисправности: 
 Неисправность модуля управления и системы охлаждения сервера 
 bios 8.3 BMC 1262_2 

 ",Сервер,Материнская плата,D252030034
Ошибки диска Enclosure=4:Disk=49 dd501,"Коллеги, добрый день._x000D_
Прошу открыть заявку по неисправному диску на Data Domain_x000D_
sysadmin@dd501-p1(active:1)# alerts show current_x000D_
Id      Post Time                  Severity   Class             Object                Message_x000D_
-----   ------------------------   --------   ---------------   -------------------   ------------------------------------------------------------------------_x000D_
m0-40   Sun Aug 25 21:21:19 2024   CRITICAL   HardwareFailure   Enclosure=4:Disk=49   EVT-STORAGE-00002: Unable to access a disk and the disk state is failed._x000D_
-----   ------------------------   --------   ---------------   -------------------   ------------------------------------------------------------------------_x000D_
There is 1 active alert._x000D_
sysadmin@dd501-p1(active:1)# system show serialno_x000D_
Serial number: CKM00194300974_x000D_
",Сервер,Диск,CKM00194300974
Неисправность сервера СИЛА  // 46900,"Коллеги, добрый день. 
 Просьба принять запрос. 
Неисправность сервера СИЛА  // 46900 
 Модель: Сервер Сила 
 S/N D252030050 

 Описание: Все ошибки которые удалось получить приведены ниже , далее модуль управления перестал отвечать и в данный момент не доступен. 
 Service phosphor-ipmi-host.service has exited unsuccessfully. 
 ila-rwfs-watchdog[20328]: /dev/mtdblock5 is full: coredumps and rotated logs were saved: /tmp/coredump-rwfs.tar.xz. 
 Core_(all core)_CPU2 sensor crossed a critical high threshold going high. Reading=75.000000 Threshold=75.000000 . 
 ",Сервер,Сервер,D252030050
Неисправность сервера // 46909,"Коллеги, добрый день._x000D_
Просьба принять запрос._x000D_
Модель: сервер CP2 – 5422_x000D_
S/N : D252030013 _x000D_
 Расположение: КВ7 _x000D_
 Описание: Неисправность системы охлаждения сервера. _x000D_
 Приоритет: 3 _x000D_
 Дополнительная информация во вложении. _x000D_
 ",Сервер,Сервер,D252030013
Ноутбук СИЛА HK1-1425/i5-1135G7/2*8G/m.2 256Gb/В3Y/C111110002/536337_ВЛN,"Не рабочая кнопка ""G""",Ноутбук,Клавиатура,C111110002
Ошибка диска Enclosure=3:Disk=5 на datadomain,"Коллеги, добрый день._x000D_
Прошу открыть кейс по неисправному диску на оборудовании DataDomain_x000D_
sysadmin@dd501-p1(active:1)# alert show current_x000D_
Id      Post Time                  Severity   Class             Object                Message_x000D_
-----   ------------------------   --------   ---------------   -------------------   ------------------------------------------------------------------------_x000D_
m0-37   Tue Jul 16 21:15:42 2024   CRITICAL   HardwareFailure   Enclosure=3:Disk=57   EVT-STORAGE-00002: Unable to access a disk and the disk state is failed._x000D_
-----   ------------------------   --------   ---------------   -------------------   ------------------------------------------------------------------------_x000D_
There is 1 active alert._x000D_
",Сервер,Диск,CKM00194300974
Сервер СР2-5422 // После обновления bios и bmc появились ошибки системных кулеров // D251110023,"Добрый день!_x000D_
После обновления bios и BMC на последние версии (SILA_015_bios_rev8_3/CUBE 1.6) появились ошибки в логах и датчиках._x000D_
Прикладываю скрины._x000D_
По питанию вырубать пробовали. Не помогло.",Сервер,Материнская плата,D251110023
HK2-1404 // Не работает зарядное устройство // C223010066,"Не работает зарядное устройство._x000D_
",Ноутбук,Блок питания,C223010066
"Ноутбук СИЛА HK-1404 // проблемы с включением, с usb-портом // C223012662","Добрый день! 
Проблемное включение и выключение компьютера. Компьютер не всегда включается даже при полной зарядке, но без подключения по проводу. Иногда включается даже с проводом со второго раза. При определенных условиях компьютер не выходит из режима сна, помогает только принудительное выключение, однако ноутбук не всегда реагирует на нажатую кнопку (вместо положенных 4-х секунд на выключение).
Проблема с одним юсб-портом - не подключается любые внешние устройства. Переустановка драйверов, включение/выключение порта через диспетчер устройств, перезагрузка результата не дали.
",Ноутбук,Материнская плата,C223012662
Не загружается ноутбук Сила НК2-3204,"Добрый день!_x000D_
После изменения в BIOS настроек режима загрузки с UEFI на Legacy ноутбук перестал загружаться. Т.е. при нажатии на кнопку питания, она подсвечивается, начинают работать индикаторы CapsLock и других клавиш, однако экран остается черный. _x000D_
Как оживить ноутбук?",Ноутбук,Консультация,C233040369
Ноутбук СИЛА НК2-1404 // не устанавливается система // C223012840,"Добрый день! Нужна гарантийная замена модуля wifi, антенны в наличае.
",Ноутбук,Wi-fi модуль,C223012840
Неисправность сервера СИЛА//60441,"Коллеги, добрый день. _x000D_
 Просьба принять запрос. _x000D_
 Оборудование: Сервер СИЛА _x000D_
 Номер: D252030034 _x000D_
 Описание: _x000D_
 Неисправен сервер СИЛА. _x000D_
 Логи во вложении. _x000D_
 ",Сервер,Материнская плата,D252030034
Ноутбук СИЛА HK1-1425/ i5-1135G7/8G/m.2 256Gb/В3Y/C111110043/525455,Не рабочий HDMI,Ноутбук,Материнская плата,C111110043
Ноутбук Сила HK2-1404\ Модернизация WiFi антенны //  C223010918,Необходимо произвести модернизацию WiFi антенны на ноутбуках Сила HK2-1404 S/N C223010918 и C223012938,Ноутбук,Wi-fi антенна,C223012938
Неисправность ноутбука СИЛА НК2-3404 - NTB48569,"Добрый день! 
 Ноутбук СИЛА НК2-3404 - NTB48569 (S/N: C223090918)
 Описание неисправности – экран ноутбука появились полосы, во вложении фото неисправности. На ноутбуке нет следов физического воздействия, скорее всего неисправность аппаратная. 
 ",Ноутбук,Матрица,C223090918
СИЛА НК2-1404 // Погнутость крышки // С223012632,"Добрый день, коллеги. Обнаружили погнутость крышки, фото во вложении. Хотим передать на диагностику",Ноутбук,Корпус,C223012632
Ноутбук НК2-1404 \\ C223012010 \\ wi-fi,"Не стабильно работает wi-fi, пропадает соединение и в устройствах не отображается, пробовал переустановить драйвера не помогает, после нескольких перезагрузок wi-fi появляется, но через какое то время опять пропадает.
",Ноутбук,Wi-fi антенна,C223012010
Hа: Ноутбук Сила ООО Газпром бурение,"У ноутбука СИЛА НК2-1404 S/N C222091115 возникла проблема:
На прошлой неделе сотрудник работал как обычно, вечером ушёл домой, утром 
пришёл и на ноутбуке показало, что нет системы
В ходе проверки было обнаружено полное обнуление SSD Диска включая SMART
",Ноутбук,Диск ,C222091115
СИЛА HK2  C223012606 C223012600 C223012675 C223011979 C223012790 абгрейд антенн,"Коллеги добрый день! Прошу пригласить инженера для апгрейда антенн
C223012606
C223012600
C223012675
C223011979
C223012790
+ C223011888
",Ноутбук,Wi-fi антенна,C223012606 C223012600 C223012675 C223011979 C223012790 C223011888
Ноутбук не включается,"Ноутбук не включается, постоянно перезагружается, не всегда выходит из спящего режима
",Ноутбук,Вентилятор,C223100275
Ноутбук СИЛА HK-1404 // Разбит экран // C223011480,"Добрый день! Отключается экран во врем работы.
",Ноутбук,Материнская плата,C223011480
Перезагрузился сервер. После перезагрузки не включается.,"Добрый день! _x000D_
Сервер перезагрузился, при загрузке выводится ошибка (скриншот ошибки - error1). При перезагрузке ошибка повторяется.",Сервер,Программное обеспечение,D114030010
Неисправность ноутбука Сила,"Добрый день!
Ноутбук СИЛА НК2-3404 - NTB48553 (S/N: C223090502)
Описание неисправности – вышла из строя матрица. В нижней части экрана полосы и мерцание. На ноутбуке нет следов физического воздействия, скорее всего неисправность аппаратная.
",Ноутбук,Матрица,C223090502
вопрос по ремонту,"Добрый день!
В прошлом году покупали у Вас ноутбуки в количестве 20 
штук.
На данный момент на трех из них есть проблемы.
На первом не работает вентилятор, на втором проблема с экраном (скрин во 
вложении), на третьем тоже вентилятор + не переустанавливается ОС, 
ошибка при копировании установочных файлов.
Какие наши дальнейшие действия?
-- 
",Ноутбук,Матрица,C223012127
Сервер СР2-5422 // D251110008,"Добрый день! На сервере были работы в рамках заявки 8198._x000D_
Сейчас на сервере наблюдаем ошибки.",Сервер,Материнская плата,D251110008
